Product ID,Product Name,Brand,Category,Product Type,Price,Available Quantity,Discount,No.of.Likes,Quantity Sold
1001,LG 65-Inch 4K OLED TV,LG,Electronics,TV,124712,6,7.0,1,0
1002,Samsung 65-Inch QLED Smart TV,Samsung,Electronics,TV,99718,5,10.0,0,0
1003,Apple iPhone16 Pro Titanium,Apple,Electronics,Smartphones,98236,15,6.0,1,1
1004,Samsung Galaxy S23,Samsung,Electronics,Smartphones,107617,17,5.0,0,2
1005,Oneplus 11 5G,Oneplus,Electronics,Smartphones,64999,19,10.0,1,0
1006,Whirlpool 240L Double-Door Refrigerator,Whirlpool,Electronics,Fridge,26499,5,12.0,2,0
1007,LG 190L Single-Door Refrigerator,LG,Electronics,Fridge,19999,0,10.0,1,7
1008,Samsung Washing Machine,Samsung,Electronics,Washing Machine,33699,9,5.0,1,1
1009,Whirlpool Washing Machine,Whirlpool,Electronics,Washing Machine,19449,6,8.0,0,0
1010,LG Dishwasher,LG,Electronics,Dishwasher,17349,12,12.0,0,0
1011,Haier Dishwasher,Haier,Electronics,Dishwasher,29899,14,7.0,0,0
1012,Apple MacBook Air M2,Apple,Electronics,Laptops,114900,3,0.0,0,0
1013,Dell Inspiron 15,Dell,Electronics,Laptops,62499,5,10.0,0,0
1014,HP Pavilion x360,HP,Electronics,Laptops,72999,6,7.0,0,0
1015,Bose QuietComfort 45,Bose,Electronics,Headphones,27360,20,7.5,0,0
1016,Apple AirPods Pro (2nd Gen),Apple,Electronics,Headphones,26900,10,10.0,0,0
1017,Sony WH-1000XM5 Noise Cancelling Headphones,Sony,Electronics,Headphones,29999,15,10.0,0,0
1018,Samsung Galaxy Watch 6,Samsung,Electronics,Smartwatch,34999,10,12.0,0,0
1019,Apple Watch Series 9,Apple,Electronics,Smartwatch,41900,8,8.0,0,0
1020,Xiaomi Mi Smart Band 6,Xiaomi,Electronics,Smartwatch,3320,9,15.0,0,0
1021,Canon EOS R50 Mirrorless Camera,Canon,Electronics,Camera,86999,10,10.0,0,0
1022,Sony ZV-E10 Mirrorless Camera,Sony,Electronics,Camera,68999,7,7.0,0,0
1023,GoPro HERO12 Action Camera,GoPro,Electronics,Camera,49500,8,5.0,0,0
1024,Samsung Galaxy Tab S9,Samsung,Electronics,Tablets,79999,11,5.0,0,0
1025,Apple iPad Air (10.9-inch),Apple,Electronics,Tablets,69900,8,10.0,0,0
1026,Amazon Fire HD 10,Amazon,Electronics,Tablets,15999,6,15.0,0,0
1027,LG 2.1 Channel Soundbar,LG,Electronics,Audio & Sound,14917,35,10.0,0,0
1028,Epson EcoTank L3250 All-in-One Printer,Epson,Electronics,Printers,14999,20,8.0,0,0
1029,HP LaserJet Pro MFP,HP,Electronics,Printers,21999,25,10.0,0,0
1030,Canon PIXMA MG3070S,Canon,Electronics,Printers,6999,12,12.0,0,0
1031,Sony PlayStation 5,Sony,Electronics,Gaming Consoles,53917,11,5.0,0,0
1032,Philips Steam Iron,Philips,Electronics,Iron Box,3320,10,11.0,0,0
1033,Preethi Zodiac Mixer Grinder,Preethi,Electronics,Kitchen Appliances,12367,9,12.0,0,0
1034,Instant Vortex Plus Air Fryer,Instant,Electronics,Kitchen Appliances,11557,15,10.0,0,0
1035,Cuisinart 14-Cup Food Processor,Cuisinart,Electronics,Kitchen Appliances,16832,11,12.0,0,0
1036,KitchenAid Stand Mixer,KitchenAid,Electronics,Kitchen Appliances,35687,5,2.0,0,0
1037,The Alchemist,HarperOne,Books,Fiction,1415,10,5.0,1,0
1038,Man's Search for Meaning,Beacon Press,Books,Philosophy,914,2,11.0,0,3
1039,The Night Circus,Vintage,Books,Fiction,399,10,20.0,0,0
1040,It Ends with Us,Simon & Schuster,Books,Fiction,350,15,15.0,0,0
1041,The Silent Patient,Celadon Books,Books,Mystery/Thriller,450,12,10.0,0,0
1042,Gone Girl,Crown Publishing,Books,Mystery/Thriller,400,10,12.0,0,0
1043,A Game of Thrones,Bantam Books,Books,Fantasy,599,13,10.0,0,0
1044,The Hobbit,HarperCollins,Books,Fantasy,499,10,15.0,0,0
1045,Atomic Habits,Penguin Random House,Books,Self-Help,550,15,0.0,0,0
1046,The Power of Now,New World Library,Books,Self-Help,399,10,10.0,0,0
1047,Meditations,Penguin Classics,Books,Philosophy,299,5,5.0,0,0
1048,The Republic,Hackett Publishing,Books,Philosophy,350,10,10.0,0,0
1049,Steve Jobs,Simon & Schuster,Books,Biography/Autobiography,799,15,8.0,0,0
1050,Becoming,Crown Publishing,Books,Biography/Autobiography,599,10,15.0,0,0
1051,The Gruffalo,Macmilan Children's Books,Books,Kids,250,8,10.0,0,0
1052,Harry Potter and the Sorcerer's Stone,Bloomsbury,Books,Kids,450,7,10.0,0,0
1053,Sapiens: A Brief History of Humankind,Penguin Random House,Books,Kids,599,10,0.0,0,0
1054,Tefal Non-Stick Fry Pan,Tefal,Home and Kitchen,Cookware,1599,5,15.0,0,0
1055,Prestige Induction Cooker,Prestige,Home and Kitchen,Cookware,5999,10,20.0,0,0
1056,Philips Induction Stove,Philips,Home and Kitchen,Cookware,5999,10,20.0,0,0
1057,Milton Airtight Storage Containers (Set of 10),Milton,Home and Kitchen,Kitchen Storage,799,8,12.0,0,0
1058,Amazon Bamboo Drawer Organizer,AmazonBasics,Home and Kitchen,Kitchen Storage,1199,10,10.0,0,0
1059,IKEA Spice Rack,IKEA,Home and Kitchen,Kitchen Storage,999,5,8.0,0,0
1060,Philips 600W Hand Blender,Philips,Home and Kitchen,Appliances,1799,10,10.0,0,0
1061,Bajaj 3-in-1 Electric Griller,Bajaj,Home and Kitchen,Appliances,2799,15,15.0,0,0
1062,Cello 1.7L Electric Kettle,Cello,Home and Kitchen,Appliances,899,7,5.0,0,0
1063,Philips Air Fryer,Philips,Home and Kitchen,Appliances,6499,8,20.0,0,0
1064,Bosch Food Processor,Bosch,Home and Kitchen,Small Appliances,7499,6,12.0,0,0
1065,Black+Decker Coffee Maker,Black+Decker,Home and Kitchen,Small Appliances,2199,10,10.0,0,0
1066,Amazon Wooden Storage Cabinet,Amazon Basics,Home and Kitchen,Furniture,3299,15,10.0,0,0
